# Originator: me
# Number of profiles: 36
# Creation time: Fri Oct 11 09:49:55 2013
#            time   conductivity    temperature       pressure          pitch           roll          speed profile_number
#               s          mS/cm              C           dbar            rad            rad            m/s              -
1369009121.30383301    46.51690006    14.39910030   104.98999596    -0.52185345     0.00343920     0.44668694              0
1369009123.29361677    46.50589943    14.38729954   105.57000160    -0.52185345     0.00685872     0.43266423              0
1369009125.29873657    46.50420189    14.38449955   106.14999771    -0.52132329     0.00766635     0.42948049              0
1369009127.29853010    46.50000095    14.38059998   106.71999931    -0.52064443     0.00630862     0.43521228              0
1369009129.29476929    46.49290085    14.37549973   107.29000092    -0.52068978     0.00494515     0.45455476              0
1369009131.32980347    46.47830009    14.36279964   107.86999702    -0.52234047     0.00411982     0.49659464              0
1369009133.30200195    46.47500038    14.35980034   108.43999863    -0.52403461     0.00218318     0.51841210              0
1369009135.31848860    46.47130013    14.35709953   109.02000427    -0.52577179    -0.00302839     0.47763677              0
1369009137.30087280    46.46180153    14.35140038   109.60000038    -0.52692523    -0.00780226     0.44743812              0
1369009139.30158186    46.44740105    14.33740044   110.17999649    -0.52608492    -0.01200393     0.45116922              0
1369009141.30158186    46.43569946    14.32750034   110.74999809    -0.52544274    -0.01521493     0.45402060              0
1369009143.30313110    46.42710209    14.31970024   111.33999825    -0.52321844    -0.01429084     0.45819742              0
1369009145.30276489    46.41809940    14.31229973   111.92000389    -0.52078572    -0.01266905     0.46247645              0
1369009147.29325056    46.41240120    14.30690002   112.48999596    -0.52189578    -0.01162142     0.45032962              0
1369009149.30773926    46.40460014    14.30000019   113.07000160    -0.52435885    -0.01080040     0.43195143              0
1369009151.29885864    46.40120029    14.29720020   113.64000320    -0.52482347    -0.01151329     0.45659384              0
1369009153.29501343    46.39679909    14.29389954   114.23000336    -0.52399324    -0.01317373     0.50761038              0
1369009155.29553938    46.39009953    14.28929996   114.80999947    -0.52057662    -0.01223568     0.51659034              0
1369009157.29654646    46.37829781    14.27789974   115.38999557    -0.51465376    -0.00885120     0.48668639              0
1369009159.29388428    46.37269974    14.27340031   115.97000122    -0.51277103    -0.00559173     0.45990439              0
1369009161.29885864    46.36579990    14.26760006   116.54000282    -0.51599521    -0.00236755     0.43609769              0
1369009163.32589722    46.36400223    14.26599979   117.10000038    -0.51980117     0.00095894     0.42205936              0
1369009165.29752302    46.35729790    14.26169968   117.67000198    -0.52358715     0.00348292     0.43112194              0
1369009167.29965210    46.34650230    14.25100040   118.24000359    -0.52851891     0.00677075     0.44292722              0
1369009169.29733992    46.34490013    14.24919987   118.80999565    -0.52257153     0.00854713     0.46099531              0
1369009171.29681396    46.34280205    14.24800014   119.37999725    -0.51596518     0.01019871     0.47925574              0
1369009173.30206299    46.34029865    14.24600029   119.94000435    -0.51345070     0.00976126     0.46821086              0
1369009175.30395508    46.33890152    14.24540043   120.50999641    -0.51178592     0.00892888     0.45173660              0
1369009177.29891968    46.32909775    14.23709965   121.07000351    -0.51325579     0.00872665     0.46514343              0
1369009179.29888916    46.31780148    14.22789955   121.63000107    -0.51578828     0.00872665     0.48866592              0
1369009181.30105591    46.30790234    14.21790028   122.20000267    -0.51771048     0.00872665     0.48198356              0
1369009183.29782104    46.29839897    14.20960045   122.76000023    -0.51937033     0.00872665     0.46013944              0
1369009185.34949446    46.29370213    14.20390034   123.33000183    -0.51819679     0.00729316     0.45037334              0
1369009187.34878540    46.29109859    14.20199966   123.88999939    -0.51490929     0.00482754     0.45027551              0
1369009189.36457014    46.28789902    14.19900036   124.44999695    -0.51463657     0.00235832     0.44290020              0
1369009191.29876709    46.28610134    14.19690037   125.00000000    -0.51723436     0.00040998     0.43030126              0
1369009193.29785156    46.28419876    14.19530010   125.55000305    -0.52050419    -0.00224044     0.41645925              0
1369009195.30288696    46.28330231    14.19470024   126.11000061    -0.52372155    -0.00626214     0.41723328              0
1369009197.29941511    46.28170013    14.19309998   126.66000366    -0.52703023    -0.01039799     0.41802928              0
1369009199.37280273    46.27810001    14.18949986   127.22000122    -0.53357947    -0.01290575     0.43411737              0
1369009201.29666138    46.27669811    14.18770027   127.79000282    -0.54035343    -0.01544598     0.45089437              0
1369009203.30060530    46.27620220    14.18690014   128.38000298    -0.53216396    -0.01496729     0.49266023              0
1369009205.29565430    46.27560139    14.18560028   128.95999908    -0.52230380    -0.01414561     0.53707450              0
1369009207.30798340    46.27590179    14.18589973   129.54000473    -0.51540665    -0.01329100     0.50173981              0
1369009209.34185791    46.27709866    14.18700027   130.10999680    -0.50962650    -0.01246526     0.44613830              0
1369009211.35409546    46.27789974    14.18780041   130.67000389    -0.51132247    -0.01050148     0.43449115              0
1369009213.30364990    46.27820015    14.18799973   131.23000145    -0.51526700    -0.00852920     0.44029476              0
1369009215.29498291    46.27810001    14.18739986   131.78999901    -0.51930282    -0.00572792     0.44521263              0
1369009217.35849714    46.27840042    14.18780041   132.36000061    -0.52178256    -0.00242162     0.44617037              0
