# Originator: Lucas Merckelbach
# Dataset: German Bight filtered T and C
# Number of profiles: 36
# Creation time: Wed Oct 23 15:44:58 2013
#            time   conductivity    temperature       pressure          pitch           roll          speed profile_number
#               s          mS/cm              C           dbar            rad            rad            m/s              -
1376310905.63766479    40.15171876    14.10605977    26.32999897    -0.40804642    -0.02984369     0.24789001              0
1376310907.63523054    40.14976318    14.10389926    26.54999971    -0.42064445    -0.03133549     0.26541397              0
1376310909.63494873    40.14608905    14.09900451    26.80000067    -0.42144786    -0.02812191     0.24517093              0
1376310911.63073730    40.14294605    14.09461202    27.06000090    -0.42209271    -0.02554251     0.22892281              0
1376310913.63437605    40.14214262    14.09320959    27.30000019    -0.41079683    -0.01864818     0.23081382              0
1376310915.64886475    40.14306335    14.09522717    27.53999949    -0.39308680    -0.00979317     0.24438754              0
1376310917.63894653    40.14217397    14.09566831    27.78000116    -0.39446742    -0.00362137     0.23369048              0
1376310919.67877197    40.13999369    14.09286770    27.96999931    -0.41538348    -0.00040352     0.19844964              0
1376310921.63391113    40.13926417    14.09124920    28.19999933    -0.42534491     0.00121118     0.19676633              0
1376310923.63113403    40.13863070    14.09036364    28.46999884    -0.41278361    -0.00046366     0.26527863              0
1376310925.63778687    40.13827970    14.09014137    28.74000072    -0.40176729    -0.00502080     0.31076858              0
1376310927.63796997    40.13836930    14.09086611    28.95999908    -0.39445526    -0.02208219     0.27462390              0
1376310929.63491821    40.13754950    14.09043024    29.14000034    -0.38755114    -0.03837209     0.23993124              0
1376310931.65267944    40.13601146    14.08812586    29.34999943    -0.41020244    -0.03190029     0.20671880              0
1376310933.75662231    40.13549029    14.08747095    29.60000038    -0.43357815    -0.02522151     0.17244421              0
1376310935.63138533    40.13564271    14.08842359    29.82000113    -0.43380252    -0.02494057     0.19083845              0
1376310937.63153791    40.13583019    14.08874124    30.05000114    -0.42976458    -0.02574816     0.22664423              0
1376310939.63455915    40.13591699    14.08853766    30.30999899    -0.41731796    -0.02617994     0.23221447              0
1376310941.63864136    40.13564672    14.08842138    30.53999901    -0.39641101    -0.02617994     0.20462974              0
1376310943.64136457    40.13542773    14.08815010    30.75000048    -0.38248130    -0.02948454     0.19893714              0
1376310945.63406372    40.13569936    14.08840317    30.98000050    -0.38328565    -0.03994111     0.24014109              0
1376310947.64020491    40.13562697    14.08848491    31.21000051    -0.38784721    -0.04875180     0.26908438              0
1376310949.63727522    40.13509578    14.08752697    31.41999960    -0.41506374    -0.04792706     0.22526991              0
1376310951.70621443    40.13594254    14.08817919    31.67999983    -0.44156093    -0.04713022     0.18266397              0
1376310953.63333845    40.13708425    14.08971606    31.94000006    -0.43594526    -0.05194365     0.23008794              0
1376310955.63198853    40.13691253    14.08961818    32.17999935    -0.43012143    -0.05693550     0.27926989              0
1376310957.68936872    40.13697668    14.08947614    32.43999958    -0.41275137    -0.04929605     0.27537904              0
1376310959.70529890    40.13721394    14.08991840    32.73999929    -0.39347413    -0.03965743     0.26330489              0
1376310961.64080811    40.13716730    14.08990288    32.99000025    -0.38140601    -0.03513764     0.26540221              0
1376310963.63363647    40.13689804    14.08952056    33.19999933    -0.36855794    -0.03192562     0.27783707              0
1376310965.63186646    40.13543379    14.08811071    33.42000008    -0.36787059    -0.02895636     0.26810215              0
1376310967.63180542    40.13357675    14.08561211    33.65999937    -0.39593324    -0.02655099     0.20591694              0
1376310969.63858032    40.13242004    14.08420935    33.85999918    -0.42119283    -0.02443461     0.15782344              0
1376310971.63544416    40.13222091    14.08428589    34.07999992    -0.42619324    -0.02443461     0.21605813              0
1376310973.63580322    40.13235111    14.08446686    34.31999922    -0.43100335    -0.02443461     0.27207664              0
1376310975.64044905    40.13227585    14.08436832    34.53000069    -0.41930337    -0.02679320     0.24877807              0
1376310977.66607666    40.13221906    14.08414167    34.71999884    -0.40687836    -0.02927820     0.22309010              0
1376310979.63922834    40.13227724    14.08414856    35.00999928    -0.40289595    -0.03169103     0.18956232              0
1376310981.66510010    40.13229280    14.08423415    35.23000002    -0.40040419    -0.03418280     0.15321555              0
1376310983.63989258    40.13273717    14.08488055    35.36999941    -0.40643274    -0.02965477     0.17022427              0
1376310985.63601685    40.13388313    14.08603661    35.66999912    -0.42090243    -0.01840056     0.22929682              0
1376310987.64124250    40.13440955    14.08625922    35.99999905    -0.42413220    -0.01171557     0.27323391              0
1376310989.64249372    40.13462188    14.08629395    36.18999958    -0.40217859    -0.01563586     0.28054909              0
1376310991.63876343    40.13460527    14.08663702    36.44000053    -0.37675071    -0.01892134     0.28693491              0
1376310993.63520002    40.13452921    14.08664829    36.76000118    -0.31474962    -0.01578204     0.28396605              0
1376310995.65750837    40.13505740    14.08686093    36.93000078    -0.25462801    -0.01273791     0.28108719              0
1376310997.63391113    40.13457494    14.08634557    37.07000017    -0.06905895    -0.01803865     0.09144803              0
1376310999.67557478    40.13320045    14.08512585    37.17000008     0.15158215    -0.02536621    -0.14663881              1
1376311001.64237165    40.13272299    14.08476653    37.03999996     0.31264087    -0.03099854    -0.13348201              1
1376311003.65972900    40.13292553    14.08471047    36.77999973     0.44501663    -0.03584156     0.01828102              1
1376311005.63822126    40.13235777    14.08449084    36.55999899     0.50224157    -0.03881136     0.14227813              1
1376311007.63336897    40.13187585    14.08445658    36.28000021     0.45319996    -0.04041928     0.31277397              1
1376311009.63360596    40.13200208    14.08428221    35.92999935     0.40525601    -0.04139774     0.46000510              1
1376311011.63574219    40.13199914    14.08459265    35.63999891     0.36798502    -0.03560003     0.35953694              1
1376311013.67874146    40.13185336    14.08481011    35.39999962     0.33194662    -0.02999406     0.26239134              1
1376311015.64294434    40.13148597    14.08429511    35.15000105     0.33932304    -0.02573067     0.30790286              1
1376311017.69680786    40.13189961    14.08476329    34.86999989     0.34893132    -0.02172723     0.35984381              1
1376311019.63461304    40.13241196    14.08542712    34.59000111     0.36826155    -0.03128491     0.33802087              1
1376311021.63645124    40.13232881    14.08544617    34.28999901     0.38996861    -0.04414836     0.29823347              1
1376311023.64385986    40.13190479    14.08511190    33.95999908     0.39539098    -0.03462231     0.27343695              1
1376311025.65170288    40.13109619    14.08472210    33.67000103     0.39126623    -0.01152367     0.25690834              1
1376311027.68833113    40.13131852    14.08516756    33.32999945     0.38249748    -0.00118429     0.31738078              1
1376311029.69790649    40.13178148    14.08570148    32.98000097     0.36877885    -0.00360522     0.45785587              1
1376311031.78189087    40.13132002    14.08519398    32.67999887     0.35841667    -0.01168266     0.49714671              1
1376311033.63532209    40.13112331    14.08490393    32.40999937     0.35599373    -0.02561453     0.37756345              1
